% Stnr    År Mnd Dag Time(NMT)    TA                       
 82290 2013   6  15        14 10.1                  
 82290 2013   6  16        14 10.9                  
 82290 2013   6  17        14  9.9                 
 82290 2013   6  18        14 11.8                  
 82290 2013   6  19        14 16.4                  
 82290 2013   6  20        14 11.8                  
 82290 2013   6  21        14 18.5                  
 82290 2013   6  22        14 18.5                  
 82290 2013   6  23        14 13.4                  
 82290 2013   6  24        14 17.3                  
 82290 2013   6  25        14 11.8                  
 82290 2013   6  26        14 13.0                  
 82290 2013   6  27        14 20.7                  
 82290 2013   6  28        14 18.1                  
 82290 2013   6  29        14 17.0                  
 82290 2013   6  30        14 13.5                  
 82290 2013   7   1        14 23.3                 
 82290 2013   7   2        14 11.5                 
 82290 2013   7   3        14 14.5                 
 82290 2013   7   4        14 18.3                 
 82290 2013   7   5        14 13.8                 
 82290 2013   7   6        14 14.8                 
 82290 2013   7   7        14 14.3                 
 82290 2013   7   8        14 10.4                 
 82290 2013   7   9        14 11.6                 
 82290 2013   7  10        14 11.5                  
 82290 2013   7  11        14 11.1                  
 82290 2013   7  12        14 12.5                  
 82290 2013   7  13        14 12.2                  
 82290 2013   7  14        14 11.7                  
 82290 2013   7  15        14  9.8                 
 82290 2013   7  16        14 11.5                  
 82290 2013   7  17        14 13.9                  
 82290 2013   7  18        14 11.9                  
 82290 2013   7  19        14 12.1                  
 82290 2013   7  20        14 11.2                  
 82290 2013   7  21        14 11.5                  
 82290 2013   7  22        14 12.2                  
 82290 2013   7  23        14 16.9                  
 82290 2013   7  24        14 22.8                  
 82290 2013   7  25        14 17.5                  
 82290 2013   7  26        14 16.9                  
 82290 2013   7  27        14 16.6                  
 82290 2013   7  28        14 17.3                  
 82290 2013   7  29        14 17.3                  
 82290 2013   7  30        14 23.8                  
 82290 2013   7  31        14 16.8                  
 82290 2013   8   1        14 14.4                 
 82290 2013   8   2        14 15.6                 
 82290 2013   8   3        14 24.2                 
 82290 2013   8   4        14 16.1                 
 82290 2013   8   5        14 16.4                 
 82290 2013   8   6        14 21.0                 
 82290 2013   8   7        14 11.8                 
 82290 2013   8   8        14 12.1                 
 82290 2013   8   9        14 13.6                 
 82290 2013   8  10        14 14.5                  
 82290 2013   8  11        14 15.4                  
 82290 2013   8  12        14 13.9                  
 82290 2013   8  13        14 13.5                  
 82290 2013   8  14        14 12.9                  
 82290 2013   8  15        14 13.3                  
 82290 2013   8  16        14 20.2                  
 82290 2013   8  17        14 12.4                  
 82290 2013   8  18        14 19.5                  
 82290 2013   8  19        14 13.4                  
 82290 2013   8  20        14 11.8                  
 82290 2013   8  21        14 11.1                  
 82290 2013   8  22        14 10.5                  
 82290 2013   8  23        14 13.7                  
 82290 2013   8  24        14 18.6                  
 82290 2013   8  25        14 21.4                  
 82290 2013   8  26        14 13.8                  
 82290 2013   8  27        14 12.7                  
 82290 2013   8  28        14 11.6                  
 82290 2013   8  29        14 11.8                  
 82290 2013   8  30        14 12.9                  
 82290 2013   8  31        14 17.6                  
 82290 2013   9   1        14 15.8                 
 82290 2013   9   2        14 13.5                 
 82290 2013   9   3        14 11.1                 
 82290 2013   9   4        14 12.7                 
 82290 2013   9   5        14 17.2                 
 82290 2013   9   6        14 15.4                 
 82290 2013   9   7        14 12.8                 
 82290 2013   9   8        14 15.0                 
 82290 2013   9   9        14 22.5                 
 82290 2013   9  10        14 19.2                  
 82290 2013   9  11        14 11.5                  
 82290 2013   9  12        14 13.9                  
 82290 2013   9  13        14 11.3                  
 82290 2013   9  14        14 11.3                  
 82290 2013   9  15        14 16.5                  
 82290 2013   9  16        14 15.9                  
 82290 2013   9  17        14 15.3                  
 82290 2013   9  18        14 16.0                  
 82290 2013   9  19        14 16.1                  
 82290 2013   9  20        14 10.7                  
 82290 2013   9  21        14 10.6                  
 82290 2013   9  22        14 10.6                  
 82290 2013   9  23        14 10.8                  
 82290 2013   9  24        14 10.0                  
 82290 2013   9  25        14  9.8                 
 82290 2013   9  26        14  8.8                 
 82290 2013   9  27        14  8.8                 
 82290 2013   9  28        14 11.5                  
 82290 2013   9  29        14  9.3                 
 82290 2013   9  30        14  8.8                 
 82290 2013  10   1        14 11.6                  
 82290 2013  10   2        14 12.3                  
 82290 2013  10   3        14 11.0                  
 82290 2013  10   4        14 12.7                  
 82290 2013  10   5        14 10.7                  
 82290 2013  10   6        14  8.8                 
 82290 2013  10   7        14  7.7                 
 82290 2013  10   8        14  7.0                 
 82290 2013  10   9        14  7.5                 
 82290 2013  10  10        14  7.7                  
 82290 2013  10  11        14  9.2                  
 82290 2013  10  12        14 10.5                   
 82290 2013  10  13        14  7.0                  
 82290 2013  10  14        14  8.3                  
 82290 2013  10  15        14  6.6                  
 82290 2013  10  16        14  2.0                  
 82290 2013  10  17        14  2.2                  
 82290 2013  10  18        14  1.0                  
 82290 2013  10  19        14  0.2                  
 82290 2013  10  20        14  2.8                  
 82290 2013  10  21        14  1.3                  
 82290 2013  10  22        14  1.1                  
 82290 2013  10  23        14  3.5                  
 82290 2013  10  24        14  7.9                  
 82290 2013  10  25        14  5.2                  
 82290 2013  10  26        14  5.8                  
 82290 2013  10  27        14  4.5                  
 82290 2013  10  28        14  4.8                  
 82290 2013  10  29        14  7.0                  
 82290 2013  10  30        14  5.0                  
 82290 2013  10  31        14  4.0                  
 82290 2013  11   1        14  6.5                 
 82290 2013  11   2        14  4.2                 
 82290 2013  11   3        14  3.9                 
 82290 2013  11   4        14  5.6                 
 82290 2013  11   5        14  3.4                 
 82290 2013  11   6        14  2.7                 
 82290 2013  11   7        14  2.5                 
 82290 2013  11   8        14  1.6                 
 82290 2013  11   9        14  5.7                 
 82290 2013  11  10        14  3.8                  
 82290 2013  11  11        14  0.9                  
 82290 2013  11  12        14  5.5                  
 82290 2013  11  13        14  5.2                  
 82290 2013  11  14        14  1.9                  
 82290 2013  11  15        14  5.5                  
 82290 2013  11  16        14  3.2                  
 82290 2013  11  17        14  1.5                  
 82290 2013  11  18        14  5.3                  
 82290 2013  11  19        14 -0.3                   
 82290 2013  11  20        14  0.5                  
 82290 2013  11  21        14 -0.5                   
 82290 2013  11  22        14  3.9                  
 82290 2013  11  23        14 -0.3                   
 82290 2013  11  24        14  2.4                  
 82290 2013  11  25        14  0.6                  
 82290 2013  11  26        14  5.0                  
 82290 2013  11  27        14  4.6                  
 82290 2013  11  28        14  3.6                  
 82290 2013  11  29        14 -0.9                   
 82290 2013  11  30        14 -1.5                   
 82290 2013  12   1        14 -0.3                  
 82290 2013  12   2        14  5.8                 
 82290 2013  12   3        14  2.7                 
 82290 2013  12   4        14  1.7                 
 82290 2013  12   5        14  0.0                 
 82290 2013  12   6        14 -3.1                  
 82290 2013  12   7        14 -5.7                  
 82290 2013  12   8        14 -4.9                  
 82290 2013  12   9        14 -3.8                  
 82290 2013  12  10        14  7.3                  
 82290 2013  12  11        14  7.1                  
 82290 2013  12  12        14  0.9                  
 82290 2013  12  13        14  0.7                  
 82290 2013  12  14        14  1.8                  
 82290 2013  12  15        14  5.0                  
 82290 2013  12  16        14  3.6                  
 82290 2013  12  17        14  4.1                  
 82290 2013  12  18        14  3.7                  
 82290 2013  12  19        14  1.2                  
 82290 2013  12  20        14  4.6                  
 82290 2013  12  21        14  3.9                  
 82290 2013  12  22        14  4.3                  
 82290 2013  12  23        14  1.3                  
 82290 2013  12  24        14  4.5                  
 82290 2013  12  25        14  4.6                  
 82290 2013  12  26        14  5.3                  
 82290 2013  12  27        14  4.5                  
 82290 2013  12  28        14  4.8                  
 82290 2013  12  29        14  4.5                  
 82290 2013  12  30        14  4.5                  
 82290 2013  12  31        14  3.9                  

