% Stnr    År Mnd Dag Time(NMT)    TA                       
 68860 2013   7   7        14  13.4                 
 68860 2013   7   8        14  14.6                 
 68860 2013   7   9        14  12.8                 
 68860 2013   7  10        14   9.9                 
 68860 2013   7  11        14  13.2                  
 68860 2013   7  12        14  17.9                  
 68860 2013   7  13        14   9.9                 
 68860 2013   7  14        14  11.7                  
 68860 2013   7  15        14  10.3                  
 68860 2013   7  16        14  12.8                  
 68860 2013   7  17        14  14.6                  
 68860 2013   7  18        14  11.9                  
 68860 2013   7  19        14  12.2                  
 68860 2013   7  20        14  14.6                  
 68860 2013   7  21        14  11.5                  
 68860 2013   7  22        14  13.9                  
 68860 2013   7  23        14  21.9                  
 68860 2013   7  24        14  23.5                  
 68860 2013   7  25        14  23.2                  
 68860 2013   7  26        14  22.3                  
 68860 2013   7  27        14  20.2                  
 68860 2013   7  28        14  22.5                  
 68860 2013   7  29        14  21.5                  
 68860 2013   7  30        14  22.1                  
 68860 2013   7  31        14  14.3                  
 68860 2013   8   1        14  16.2                 
 68860 2013   8   2        14  22.4                 
 68860 2013   8   3        14  22.5                 
 68860 2013   8   4        14  19.9                 
 68860 2013   8   5        14  20.0                 
 68860 2013   8   6        14  20.7                 
 68860 2013   8   7        14  14.5                 
 68860 2013   8   8        14  16.0                 
 68860 2013   8   9        14  16.1                 
 68860 2013   8  10        14  15.8                  
 68860 2013   8  11        14  14.6                  
 68860 2013   8  12        14  13.5                  
 68860 2013   8  13        14  11.5                  
 68860 2013   8  14        14  12.3                  
 68860 2013   8  15        14  15.1                  
 68860 2013   8  16        14  21.4                  
 68860 2013   8  17        14  17.0                  
 68860 2013   8  18        14  20.1                  
 68860 2013   8  19        14  15.5                  
 68860 2013   8  20        14  15.2                  
 68860 2013   8  21        14  11.5                  
 68860 2013   8  22        14  12.7                  
 68860 2013   8  23        14  16.8                  
 68860 2013   8  24        14  21.0                  
 68860 2013   8  25        14  20.8                  
 68860 2013   8  26        14  18.6                  
 68860 2013   8  27        14  18.6                  
 68860 2013   8  28        14  12.4                  
 68860 2013   8  29        14  13.9                  
 68860 2013   8  30        14  18.2                  
 68860 2013   8  31        14  11.2                  
 68860 2013   9   1        14  12.4                 
